PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
market,sierra,agricultural,san,diego,santa,alameda,yuba,barbara,mono,marin,sonoma,mono,napa,yuba,napa,napa,alameda,trinity,yuba,monterey,yolo,dorado,luis,alameda,butte,monterey,madera,imperial,ventura
revenue,nevada,santa,sierra,del,modoc,santa,bernardino,santa,lake,diego,riverside,lake,marin,trinity,angeles,mariposa,del,riverside,del,sonoma,humboldt,el,obispo,sonoma,humboldt,amador,humboldt,placer,butte
million,san,water,nevada,county,sierra,energy,sacramento,napa,kern,yuba,madera,lassen,yolo,marin,los,diego,marin,madera,angeles,barbara,solano,amador,madera,madera,yolo,mariposa,solano,solano,amador
product,forest,bay,francisco,san,nevada,county,desert,county,angeles,angeles,barbara,modoc,diego,alameda,monterey,sonoma,norte,dorado,trinity,dorado,marin,madera,mariposa,tehama,diego,bernardino,merce,desert,tehama
initial,forestry,francisco,region,desert,lassen,kern,alameda,alameda,los,los,mono,sonoma,tulare,bernardino,diego,merce,trinity,el,sonoma,el,madera,alameda,barbara,cruz,kern,cruz,luis,trinity,colusa
establish,agricultural,sacramento,sonoma,norte,barbara,conservation,barbara,san,san,modoc,napa,yolo,riverside,diego,yuba,yolo,tulare,barbara,los,luis,angeles,mariposa,diego,shasta,amador,luis,obispo,ventura,dorado
partnership,francisco,joaquin,bay,riverside,francisco,joaquin,bay,mariposa,yolo,bay,imperial,trinity,angeles,riverside,yolo,county,colusa,los,norte,obispo,merce,sonoma,yolo,solano,mariposa,obispo,tulare,stanislaus,el
county,bay,energy,county,coast,trinity,carbon,francisco,energy,trinity,sacramento,desert,tulare,mateo,shasta,joaquin,madera,sonoma,angeles,riverside,del,alameda,glenn,monterey,tulare,imperial,dorado,alameda,kern,orange
year,joaquin,valley,biotech,barbara,san,cruz,san,bernardino,energy,lassen,marin,diego,los,del,merce,marin,humboldt,yolo,amador,alameda,los,yuba,ventura,barbara,colusa,el,yolo,riverside,barbara
capital,alpine,barbara,trinity,mendocino,forest,renewable,modoc,yuba,yuba,monterey,alameda,riverside,del,mariposa,placer,stanislaus,solano,marin,mono,norte,sonoma,yolo,bernardino,benito,glenn,riverside,yuba,butte,merce
