timestep,soil_organic_matter_N0.8_C2.5,soil_pH_N0.7_C2.8,soil_moisture_N0.4_C2.0,nutrient_levels_N0.6_C1.8,soil_structure_N1.0_C1.5,microbial_activity_N1.2_C1.2,biodiversity_N1.5_C0.8,soil_salinity_N1.8_C0.5,soil_temperature_N2.0_C0.3,soil_compaction_N1.6_C0.1
0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1,50.41697707731514,50.09862219857367,50.613253445948054,50.58029833547765,49.96566600397753,49.30540703015887,52.49438747390968,48.19951478755086,52.10146996019883,53.20171029637081
2,49.27381766405696,50.55364091504656,50.26748440831331,49.73333608524094,49.88717128826691,47.75914398816181,53.08484798577553,49.78366645891027,52.42748313597888,52.81688951580548
3,49.539217267802975,50.81163694576728,50.1799334701644,48.94774852340076,49.29460582051175,49.554902477587596,52.80481252538374,47.7241279651446,51.485910891783504,50.011443272966616
4,48.85764372474483,50.45897539046339,49.48130832299477,49.27738375893722,48.234622241090136,49.72010356839575,49.09524703924746,50.16915238258013,49.86398039981027,50.5881093716123
5,49.853209744598885,49.73433834825139,50.42266840346881,50.41781885007355,49.28607161366331,52.08031378658034,48.259508968042994,49.08758791152958,51.53038375997547,53.99340160422143
6,49.15240362538946,49.73422887102317,50.37763197356478,50.64165576538776,49.317693748157396,51.74743776509138,47.82484711374448,49.16843113915402,51.926872095059686,53.743754560900385
7,49.76605796212483,49.00760441565439,50.08354162002912,51.28172184774589,48.92744978725528,51.315950431808794,49.912325485529735,48.308667722090675,53.63746806732781,54.01207067570598
8,49.62895687096438,49.67931978585727,49.21645599570157,49.58356314892097,48.600647807991045,49.04307626102032,50.41983269015854,46.681452300691994,55.63513488269231,54.07800199491325
9,50.053274456555606,49.22295893662572,49.291426720855995,50.08388857712947,48.207305488752525,49.12089885978414,50.35420043915011,48.44907208829994,56.18083480974754,54.32113345059623
10,50.54809927731553,49.63485655484887,48.73702073177919,49.422864081896776,47.296167097513575,47.77089103826631,48.94633721641633,51.006797866425586,57.703695828431975,55.66912309101953
11,49.709875518538254,49.57611505986024,48.34126061178892,50.33720554938691,47.58576165832161,48.558877466184775,47.953651752267575,52.33331042062751,60.58494198643237,55.37377726654271
12,50.913728768328355,49.18513511913784,48.27676795452727,50.682100619116824,46.41091695460178,47.91864438931839,47.745867796945625,53.47649007922985,54.75840961190977,57.59631694094552
13,52.060606358712455,49.0204672061743,48.355166265441184,49.981343803793095,47.042108705129465,48.07467076804705,49.740422462777154,51.07013095834655,52.98074799783314,57.44835767321856
14,51.49802675705527,48.37447137697044,48.46407619079572,49.235556575901306,46.14857120438326,49.0650231387201,49.16999788302617,51.8449527357245,51.66045888820412,58.14777789575187
15,50.67409686128926,48.01743027612143,47.8947838059844,48.53131593646256,46.13434803964866,51.00168121579092,50.87835688886724,48.44463599261639,52.414577610261894,59.48364953310115
16,50.119337393640905,48.13828834386427,48.048682277160566,48.20486585872517,44.709176543122545,51.995720049082095,51.869603561668384,47.42731083856657,52.546408034774124,62.97735739933478
17,51.033581821470456,47.77739003254852,48.21354963300683,48.259838884526275,45.46880041003125,50.723766463461395,50.358958197781966,48.031801739840446,53.24375069372548,63.873086203685624
18,51.51498054954389,48.65488914520521,49.076356816533895,47.747241396364856,44.925316863734444,51.400821838262985,53.900564062890744,47.00160518855574,52.04799194368814,63.74783481712796
19,51.16165984046238,48.475767366940396,49.78522817049337,46.774221929790514,44.597957115880455,51.75186336066696,54.35423527115228,44.50702745821437,53.0824949731513,61.375083526882676
20,50.79394871241734,48.18635997819426,49.40816098753203,46.5998322655532,46.53473020194214,51.29004421203168,54.59496907847914,42.304345884780815,55.78462669324625,59.90249107436721
21,50.095357767450764,49.19145875381596,49.26601534337867,46.37879589278054,45.89602601762648,51.86491453365274,54.35500942281059,41.417135744028386,56.66851155673929,61.30441465001423
22,48.68988664132825,49.17704924705301,49.802769845342446,45.86611680230915,45.10761656489471,51.48677499236636,53.769391220331705,40.559202093899934,55.79385847159727,62.03450989829575
23,48.424021729070574,49.32864787635166,50.09148521101077,46.21753252131324,43.70385459902045,49.91373682972834,54.32113116858003,38.50568961589059,56.697635212425524,61.35443326779847
24,48.049314726866925,49.696215367280324,50.661500205683076,46.15451817216987,43.923173287067634,49.786098399717474,55.19491752404997,37.521939295171556,56.836272370207766,61.76968734316115
25,48.42589746980074,51.03168771161483,50.61416588753567,45.24784278054331,44.49909687436732,50.555623550999385,58.59542342632546,36.61095112831511,53.5392331567218,61.94555880261773
26,49.964240261444886,49.86924737516997,50.175488568119626,45.03600661596944,44.82622253680549,52.09826666212602,59.239196116557366,35.842838477573494,55.24274474716275,63.1206415494101
27,49.74119169507158,50.00251468665929,50.88501896199358,46.18411967046296,45.23152695934033,53.43031392374572,60.10633665161609,36.12083240448378,56.275893603312305,62.72641229249577
28,49.91405610323592,49.85316760081935,51.237632321953406,45.478239219911984,43.655118777163324,55.53334813622376,60.05180955807507,34.275238251028824,59.83685185988243,64.86067439493505
29,49.69953688829071,49.875589635924534,51.78961969987969,45.55863102145362,44.24928442039637,57.40097761050785,58.225128735162485,34.42539976582978,59.055464565739214,66.45123405357441
30,49.90395927917552,49.98260599610548,51.74225543344287,45.293412917830594,44.221158284784906,59.323286696361365,57.0875462155653,34.95557828840875,60.243809422226626,70.4671879594627
31,50.944250260474426,49.924861964848475,51.46045083069774,45.71955167320347,47.165206713459185,61.18580925225442,57.59278623281226,35.1060992303299,58.59199737830698,69.13562985401829
32,51.5144093333904,49.65957429020467,51.827410006935814,45.79423860357193,47.3004420932524,59.0123028081056,56.67598297587653,35.81774734231648,56.4371265699293,67.92309760094972
33,49.87174220178088,49.615078280105,51.96781873438494,46.04360392762738,48.207436789374704,58.92605548649938,54.88100302376184,34.60792701819591,55.63256865718174,67.69317100132643
34,49.166434414327824,50.13648933547926,51.71163221817993,44.9177487432125,48.16087552523952,57.274836977312496,54.780116423506016,35.336785223625476,56.45160727080236,68.21762213859549
35,49.08438130190264,50.24213207514197,51.11682707892482,44.87231798975099,48.50229832053981,57.50009372384561,54.77842209076449,37.55850135849652,58.86329413820021,69.03663162705188
36,48.035419912642496,50.35564766747794,51.09634976091693,45.032419698103126,50.18920485600362,58.56953198612199,53.291988430028795,35.54004124635718,60.76560135480082,68.62080914116648
37,48.299163746450745,49.88253348883541,51.185690269483715,46.24179249078148,50.66276510421321,59.2700823632902,50.90528445819517,33.9570397184869,60.732149153290905,69.73806859485138
